World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 1.20: Inbound tourism - Arrivals by air - Thousands;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
174;Comoros;23;24;26;27;24;24;19;19;14;18;20;17;15;15;11;15;19;23;22;23;24;27;28
178;Congo;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;113;115;136;150;151;163;133;..
180;Congo, Democratic Republic Of The;20;..;..;..;..;..;26;28;35;36;39;41;47;50;53;81;160;156;180;..;187;186;..
184;Cook Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
188;Costa Rica;581;560;582;669;734;801;812;798;928;1.088;1.244;1.232;1.357;1.424;1.320;1.418;1.464;1.552;1.617;1.721;1.859;2.115;2.189
384;Côte D'Ivoire;188;237;260;..;..;..;..;..;..;..;..;..;..;205;231;252;270;289;380;471;537;632;720
191;Croatia;419;522;577;631;580;740;813;887;1.006;1.202;1.566;1.825;2.033;2.055;1.947;2.136;2.299;2.505;2.689;2.879;3.119;3.566;4.222
192;Cuba;742;999;1.153;1.390;1.561;1.741;1.736;1.656;1.847;2.017;2.261;2.150;2.119;2.316;2.405;2.507;2.688;2.823;2.839;2.981;3.506;3.975;..
535;Curaçao;224;214;205;206;212;205;219;226;228;233;234;250;323;420;385;378;436;471;487;500;507;474;..
196;Cyprus;2.159;2.002;2.099;2.245;2.451;2.703;2.717;2.431;2.320;2.357;2.479;2.408;2.425;2.410;2.145;2.179;2.410;2.471;2.419;2.453;2.672;3.201;3.673
203;Czech Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
208;Denmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
262;Djibouti;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
212;Dominica;44;47;48;47;54;50;47;49;52;56;58;62;56;55;48;49;48;47;47;51;44;48;..
214;Dominican Republic;1.776;1.926;2.211;2.309;2.649;2.978;2.882;2.811;3.282;3.450;3.691;3.965;3.980;3.980;3.992;4.125;4.306;4.563;4.690;5.141;5.600;5.959;6.188
218;Ecuador;281;307;348;353;343;383;422;432;450;496;540;557;639;714;699;750;783;848;959;1.041;1.027;929;927
818;Egypt;2.076;2.579;2.747;2.281;3.542;4.190;3.800;4.280;4.841;6.577;6.713;7.610;9.917;11.500;11.396;12.616;8.159;9.845;8.237;9.010;8.521;4.594;..
222;El Salvador;154;164;206;189;230;234;224;253;262;449;499;483;527;490;430;426;470;541;589;591;599;616;643
226;Equatorial Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
232;Eritrea;56;58;62;35;26;34;59;51;49;51;45;35;38;38;35;40;42;79;48;45;32;84;..
233;Estonia;105;130;135;150;..;149;152;161;185;..;..;..;..;..;..;..;..;..;..;..;..;..;..
230;Ethiopia;103;109;115;91;92;109;116;131;160;173;193;290;312;330;371;403;450;513;661;749;839;845;..
242;Fiji;313;396;424;365;404;287;342;390;422;..;537;538;527;570;528;613;654;642;..;..;..;..;..
246;Finland;..;..;..;1.222;1.208;1.427;1.558;1.603;1.577;1.640;1.734;1.999;2.049;2.265;2.036;2.214;2.533;2.434;..;..;..;..;..
250;France;..;9.136;9.670;..;..;..;11.574;..;..;14.882;16.325;17.825;20.710;21.895;19.520;18.594;21.190;22.233;23.581;23.670;26.327;27.139;..
254;French Guiana;..;..;..;..;..;..;65;65;..;..;..;..;..;..;..;189;192;187;180;185;199;..;..
258;French Polynesia;166;164;180;189;211;252;228;189;213;212;208;222;218;196;160;154;163;169;164;181;184;192;199
266;Gabon;125;145;167;195;178;155;169;208;222;..;..;..;..;..;..;..;..;..;..;..;..;..;..
270;Gambia;45;77;85;91;96;79;57;81;89;90;108;125;143;147;142;91;106;157;171;156;135;161;..
268;Georgia;15;27;200;72;200;72;58;67;73;96;131;179;161;192;199;245;336;429;586;643;765;1.067;1.565
280;Germany;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;70.924;75.672;77.771;79.298;82.072;85.658;88.747;94.671
288;Ghana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
300;Greece;8.479;7.684;8.148;8.646;9.962;10.454;10.841;10.438;10.417;9.974;10.915;11.509;11.920;11.692;10.748;10.637;11.671;10.993;12.302;14.057;14.981;16.329;17.946
308;Grenada;95;94;98;104;115;118;112;121;134;128;94;114;125;125;109;105;114;105;106;125;133;135;146
312;Guadeloupe;..;625;660;580;561;603;521;..;439;456;372;393;408;412;347;392;317;325;487;486;512;581;..
316;Guam;1.350;1.362;1.373;1.129;1.156;1.279;1.124;1.031;857;1.121;1.185;1.184;1.181;1.093;1.044;1.188;1.150;1.299;1.329;1.331;1.400;1.517;1.522
320;Guatemala;299;269;303;331;358;366;408;403;402;434;480;497;558;556;494;521;508;537;553;598;640;682;738
324;Guinea;..;12;17;23;27;33;36;41;44;42;45;46;30;24;..;12;131;96;56;33;35;60;..
624;Guinea-Bissau;..;..;..;..;..;..;8;..;..;..;5;12;16;18;16;22;37;35;36;36;44;..;..
328;Guyana;88;81;68;..;..;..;..;104;101;122;117;113;134;130;141;152;157;177;200;206;207;235;247
332;Haiti;145;150;149;147;143;140;142;140;136;96;112;108;386;258;387;255;349;349;420;465;516;..;..
340;Honduras;205;201;189;206;227;237;230;210;248;259;301;352;383;398;391;401;426;378;394;413;427;..;..
344;Hong Kong, China;6.823;7.532;6.343;5.571;6.062;6.709;6.530;6.891;4.981;7.015;7.803;8.625;9.223;9.114;8.624;10.187;11.026;11.559;12.332;12.849;13.173;13.399;13.705
348;Hungary;892;1.183;1.349;1.496;1.823;1.735;1.391;1.302;1.730;2.282;2.084;2.110;2.230;2.923;3.258;3.205;3.531;3.305;3.518;3.724;4.408;4.937;5.441
352;Iceland;185;195;195;225;255;296;296;278;309;349;363;409;470;488;480;473;553;660;791;979;1.270;1.772;2.202
356;India;1.833;1.996;2.048;2.041;2.089;2.214;2.210;1.953;2.265;2.960;3.390;3.873;4.542;4.707;4.642;5.302;5.804;6.032;6.341;6.612;6.787;7.406;..
360;Indonesia;2.700;3.210;3.138;2.346;2.449;2.760;2.766;2.745;2.178;2.790;2.889;2.822;3.304;4.091;4.396;4.998;5.446;5.755;6.429;6.978;7.331;8.556;9.671
364;Iran, Islamic Republic Of;151;169;321;413;236;257;395;429;..;545;..;..;..;730;635;636;637;862;1.253;1.518;1.664;1.616;1.629
368;Iraq;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
372;Ireland;2.666;3.043;3.305;3.708;4.101;4.450;4.322;4.439;4.819;4.980;5.546;6.304;6.578;6.468;5.703;4.845;5.339;5.314;5.626;6.010;6.931;7.622;7.911
376;Israel;1.678;1.612;1.561;1.553;1.827;1.955;1.060;778;972;1.339;1.653;1.568;1.747;2.114;1.963;2.313;2.438;2.482;2.580;2.528;2.509;2.623;3.205
380;Italy;8.500;8.415;8.984;9.200;9.507;10.773;10.926;11.567;12.062;16.927;18.592;21.520;23.226;21.368;19.930;21.092;23.079;23.276;24.883;25.737;28.114;30.484;34.117
388;Jamaica;1.147;1.162;1.192;1.225;1.248;1.323;1.277;1.266;1.350;1.415;1.479;1.679;1.701;1.767;1.831;1.922;1.952;1.986;2.008;2.080;2.123;2.182;2.353
392;Japan;3.652;4.143;4.530;4.464;4.717;5.072;5.061;5.496;5.428;6.399;7.022;7.607;8.486;8.448;7.147;8.741;6.681;8.567;10.635;13.511;19.117;22.618;26.687
400;Jordan;315;319;316;716;760;782;818;948;1.028;1.407;1.449;1.885;1.705;1.735;1.883;2.186;2.270;2.604;2.686;2.910;2.095;1.905;..
398;Kazakhstan;..;..;..;..;..;..;..;..;767;274;298;504;584;568;521;565;785;850;944;874;..;..;..
404;Kenya;614;633;631;564;611;654;627;539;547;764;842;964;1.118;764;962;1.120;1.301;1.292;1.133;888;771;920;..
296;Kiribati;4;4;5;6;5;5;5;5;5;3;4;4;5;4;4;5;5;5;6;5;4;6;..
408;Korea, Democratic People'S Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
410;Korea, Republic Of;2.721;2.656;2.848;3.275;3.646;4.045;3.948;4.067;3.536;4.529;4.776;5.116;5.448;5.822;6.725;7.518;8.375;9.759;9.892;11.557;10.733;13.715;11.782
414;Kuwait;807;859;878;903;961;929;994;1.139;1.272;1.525;1.657;1.857;2.126;2.248;2.425;2.512;2.571;2.670;2.914;3.114;3.390;3.604;..
417;Kyrgyzstan;..;..;..;44;24;14;46;40;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
418;Lao People'S Democratic Republic;35;47;51;65;66;92;95;147;159;242;438;389;650;556;582;1.030;1.329;340;421;500;520;579;520
428;Latvia;107;112;127;142;140;140;156;155;188;299;494;641;857;982;1.277;1.539;1.698;1.597;1.628;1.652;1.789;1.587;2.095
422;Lebanon;..;..;381;418;448;481;515;582;..;..;..;673;663;900;1.261;1.406;1.368;1.287;1.203;1.282;1.422;1.564;..
