"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008Q2","Greece","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Greece","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Spain","Passenger","Passengers on board","Total","Total transport","43,482,302",""
"2008Q2","Spain","Passenger","Passengers on board (arrivals)","Total","Total transport","27,433,446",""
"2008Q2","Spain","Passenger","Passengers on board (departures)","Total","Total transport","26,769,956",""
"2008Q2","Spain","Passenger","Passengers carried","Total","Total transport","43,244,741",""
"2008Q2","Spain","Passenger","Passengers carried (arrival)","Total","Total transport","27,214,460",""
"2008Q2","Spain","Passenger","Passengers carried (departures)","Total","Total transport","26,751,175",""
"2008Q2","Spain","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Spain","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Spain","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Spain","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Spain","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Spain","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","France","Passenger","Passengers on board","Total","Total transport","32,887,447",""
"2008Q2","France","Passenger","Passengers on board (arrivals)","Total","Total transport","19,942,924",""
"2008Q2","France","Passenger","Passengers on board (departures)","Total","Total transport","19,989,451",""
"2008Q2","France","Passenger","Passengers carried","Total","Total transport","32,996,702",""
"2008Q2","France","Passenger","Passengers carried (arrival)","Total","Total transport","19,942,924",""
"2008Q2","France","Passenger","Passengers carried (departures)","Total","Total transport","19,989,451",""
"2008Q2","France","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","France","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","France","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","France","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","France","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","France","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Croatia","Passenger","Passengers on board","Total","Total transport","1,310,342",""
"2008Q2","Croatia","Passenger","Passengers on board (arrivals)","Total","Total transport","770,882",""
"2008Q2","Croatia","Passenger","Passengers on board (departures)","Total","Total transport","691,344",""
"2008Q2","Croatia","Passenger","Passengers carried","Total","Total transport","1,285,693",""
"2008Q2","Croatia","Passenger","Passengers carried (arrival)","Total","Total transport","749,986",""
"2008Q2","Croatia","Passenger","Passengers carried (departures)","Total","Total transport","670,486",""
"2008Q2","Croatia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Croatia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Croatia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Croatia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Croatia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Croatia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Italy","Passenger","Passengers on board","Total","Total transport","28,682,605",""
"2008Q2","Italy","Passenger","Passengers on board (arrivals)","Total","Total transport","18,279,544",""
"2008Q2","Italy","Passenger","Passengers on board (departures)","Total","Total transport","17,969,284",""
"2008Q2","Italy","Passenger","Passengers carried","Total","Total transport","28,355,773",""
"2008Q2","Italy","Passenger","Passengers carried (arrival)","Total","Total transport","17,975,330",""
"2008Q2","Italy","Passenger","Passengers carried (departures)","Total","Total transport","17,849,868",""
"2008Q2","Italy","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Italy","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Italy","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Italy","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Italy","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Italy","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Cyprus","Passenger","Passengers on board","Total","Total transport","2,109,098",""
"2008Q2","Cyprus","Passenger","Passengers on board (arrivals)","Total","Total transport","1,103,945",""
"2008Q2","Cyprus","Passenger","Passengers on board (departures)","Total","Total transport","1,025,735",""
"2008Q2","Cyprus","Passenger","Passengers carried","Total","Total transport","2,022,887",""
"2008Q2","Cyprus","Passenger","Passengers carried (arrival)","Total","Total transport","1,048,123",""
"2008Q2","Cyprus","Passenger","Passengers carried (departures)","Total","Total transport","974,764",""
"2008Q2","Cyprus","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Cyprus","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Cyprus","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Cyprus","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Cyprus","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Cyprus","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Latvia","Passenger","Passengers on board","Total","Total transport","940,954",""
"2008Q2","Latvia","Passenger","Passengers on board (arrivals)","Total","Total transport","469,642",""
"2008Q2","Latvia","Passenger","Passengers on board (departures)","Total","Total transport","471,312",""
"2008Q2","Latvia","Passenger","Passengers carried","Total","Total transport","937,321",""
"2008Q2","Latvia","Passenger","Passengers carried (arrival)","Total","Total transport","469,642",""
"2008Q2","Latvia","Passenger","Passengers carried (departures)","Total","Total transport","467,679",""
"2008Q2","Latvia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Latvia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Latvia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Latvia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Latvia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Latvia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Lithuania","Passenger","Passengers on board","Total","Total transport","718,866",""
"2008Q2","Lithuania","Passenger","Passengers on board (arrivals)","Total","Total transport","359,905",""
"2008Q2","Lithuania","Passenger","Passengers on board (departures)","Total","Total transport","359,557",""
"2008Q2","Lithuania","Passenger","Passengers carried","Total","Total transport","716,656",""
"2008Q2","Lithuania","Passenger","Passengers carried (arrival)","Total","Total transport","358,505",""
"2008Q2","Lithuania","Passenger","Passengers carried (departures)","Total","Total transport","358,157",""
"2008Q2","Lithuania","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Lithuania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Lithuania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Lithuania","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Lithuania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Lithuania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Luxembourg","Passenger","Passengers on board","Total","Total transport","465,872",""
"2008Q2","Luxembourg","Passenger","Passengers on board (arrivals)","Total","Total transport","230,008",""
"2008Q2","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","236,005",""
"2008Q2","Luxembourg","Passenger","Passengers carried","Total","Total transport","465,872",""
"2008Q2","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","230,008",""
"2008Q2","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","236,005",""
"2008Q2","Luxembourg","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Luxembourg","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Luxembourg","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Luxembourg","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Luxembourg","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Luxembourg","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Hungary","Passenger","Passengers on board","Total","Total transport","2,205,133",""
"2008Q2","Hungary","Passenger","Passengers on board (arrivals)","Total","Total transport","1,079,976",""
"2008Q2","Hungary","Passenger","Passengers on board (departures)","Total","Total transport","1,125,157",""
"2008Q2","Hungary","Passenger","Passengers carried","Total","Total transport","2,205,133",""
"2008Q2","Hungary","Passenger","Passengers carried (arrival)","Total","Total transport","1,079,976",""
"2008Q2","Hungary","Passenger","Passengers carried (departures)","Total","Total transport","1,125,157",""
"2008Q2","Hungary","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Hungary","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Hungary","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Hungary","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Hungary","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Hungary","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Malta","Passenger","Passengers on board","Total","Total transport","866,556",""
"2008Q2","Malta","Passenger","Passengers on board (arrivals)","Total","Total transport","443,720",""
"2008Q2","Malta","Passenger","Passengers on board (departures)","Total","Total transport","422,836",""
"2008Q2","Malta","Passenger","Passengers carried","Total","Total transport","866,556",""
"2008Q2","Malta","Passenger","Passengers carried (arrival)","Total","Total transport","443,720",""
"2008Q2","Malta","Passenger","Passengers carried (departures)","Total","Total transport","422,836",""
"2008Q2","Malta","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Malta","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Malta","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Malta","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Malta","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Malta","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Netherlands","Passenger","Passengers on board","Total","Total transport","13,643,889",""
"2008Q2","Netherlands","Passenger","Passengers on board (arrivals)","Total","Total transport","6,756,375",""
"2008Q2","Netherlands","Passenger","Passengers on board (departures)","Total","Total transport","6,903,473",""
"2008Q2","Netherlands","Passenger","Passengers carried","Total","Total transport","13,570,417",""
"2008Q2","Netherlands","Passenger","Passengers carried (arrival)","Total","Total transport","6,719,002",""
"2008Q2","Netherlands","Passenger","Passengers carried (departures)","Total","Total transport","6,866,100",""
"2008Q2","Netherlands","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Netherlands","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Netherlands","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Netherlands","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Netherlands","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Netherlands","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Austria","Passenger","Passengers on board","Total","Total transport","6,374,749",""
"2008Q2","Austria","Passenger","Passengers on board (arrivals)","Total","Total transport","3,264,571",""
"2008Q2","Austria","Passenger","Passengers on board (departures)","Total","Total transport","3,325,638",""
"2008Q2","Austria","Passenger","Passengers carried","Total","Total transport","6,329,051",""
"2008Q2","Austria","Passenger","Passengers carried (arrival)","Total","Total transport","3,228,305",""
"2008Q2","Austria","Passenger","Passengers carried (departures)","Total","Total transport","3,287,630",""
"2008Q2","Austria","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Austria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Austria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Austria","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Austria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Austria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Poland","Passenger","Passengers on board","Total","Total transport","5,023,568",""
"2008Q2","Poland","Passenger","Passengers on board (arrivals)","Total","Total transport","2,548,542",""
"2008Q2","Poland","Passenger","Passengers on board (departures)","Total","Total transport","2,681,276",""
"2008Q2","Poland","Passenger","Passengers carried","Total","Total transport","5,023,742",""
"2008Q2","Poland","Passenger","Passengers carried (arrival)","Total","Total transport","2,548,542",""
"2008Q2","Poland","Passenger","Passengers carried (departures)","Total","Total transport","2,681,345",""
"2008Q2","Poland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Poland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Poland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Poland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Poland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Poland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Portugal","Passenger","Passengers on board","Total","Total transport","6,639,050",""
"2008Q2","Portugal","Passenger","Passengers on board (arrivals)","Total","Total transport","3,721,776",""
"2008Q2","Portugal","Passenger","Passengers on board (departures)","Total","Total transport","3,557,365",""
"2008Q2","Portugal","Passenger","Passengers carried","Total","Total transport","6,731,198",""
"2008Q2","Portugal","Passenger","Passengers carried (arrival)","Total","Total transport","3,784,152",""
"2008Q2","Portugal","Passenger","Passengers carried (departures)","Total","Total transport","3,638,500",""
"2008Q2","Portugal","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Portugal","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Portugal","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Portugal","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Portugal","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Portugal","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Romania","Passenger","Passengers on board","Total","Total transport","2,115,622",""
"2008Q2","Romania","Passenger","Passengers on board (arrivals)","Total","Total transport","1,093,925",""
"2008Q2","Romania","Passenger","Passengers on board (departures)","Total","Total transport","1,117,570",""
"2008Q2","Romania","Passenger","Passengers carried","Total","Total transport","2,112,469",""
"2008Q2","Romania","Passenger","Passengers carried (arrival)","Total","Total transport","1,091,388",""
"2008Q2","Romania","Passenger","Passengers carried (departures)","Total","Total transport","1,114,804",""
"2008Q2","Romania","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Romania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Romania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Romania","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Romania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Romania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Slovenia","Passenger","Passengers on board","Total","Total transport","471,554",""
"2008Q2","Slovenia","Passenger","Passengers on board (arrivals)","Total","Total transport","238,791",""
"2008Q2","Slovenia","Passenger","Passengers on board (departures)","Total","Total transport","232,763",""
"2008Q2","Slovenia","Passenger","Passengers carried","Total","Total transport","463,846",""
"2008Q2","Slovenia","Passenger","Passengers carried (arrival)","Total","Total transport","231,083",""
"2008Q2","Slovenia","Passenger","Passengers carried (departures)","Total","Total transport","232,763",""
"2008Q2","Slovenia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Slovenia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Slovenia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Slovenia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Slovenia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Slovenia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Slovakia","Passenger","Passengers on board","Total","Total transport","653,355",""
"2008Q2","Slovakia","Passenger","Passengers on board (arrivals)","Total","Total transport","339,470",""
"2008Q2","Slovakia","Passenger","Passengers on board (departures)","Total","Total transport","368,940",""
"2008Q2","Slovakia","Passenger","Passengers carried","Total","Total transport","652,178",""
"2008Q2","Slovakia","Passenger","Passengers carried (arrival)","Total","Total transport","339,010",""
"2008Q2","Slovakia","Passenger","Passengers carried (departures)","Total","Total transport","367,902",""
"2008Q2","Slovakia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Slovakia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Slovakia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Slovakia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Slovakia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Slovakia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Finland","Passenger","Passengers on board","Total","Total transport","3,775,584",""
"2008Q2","Finland","Passenger","Passengers on board (arrivals)","Total","Total transport","2,235,159",""
"2008Q2","Finland","Passenger","Passengers on board (departures)","Total","Total transport","2,257,151",""
"2008Q2","Finland","Passenger","Passengers carried","Total","Total transport","3,777,943",""
"2008Q2","Finland","Passenger","Passengers carried (arrival)","Total","Total transport","2,236,598",""
"2008Q2","Finland","Passenger","Passengers carried (departures)","Total","Total transport","2,257,565",""
"2008Q2","Finland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Finland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Finland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Finland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Finland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Finland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Sweden","Passenger","Passengers on board","Total","Total transport","7,693,382",""
"2008Q2","Sweden","Passenger","Passengers on board (arrivals)","Total","Total transport","4,686,390",""
"2008Q2","Sweden","Passenger","Passengers on board (departures)","Total","Total transport","4,751,393",""
"2008Q2","Sweden","Passenger","Passengers carried","Total","Total transport","7,627,456",""
"2008Q2","Sweden","Passenger","Passengers carried (arrival)","Total","Total transport","4,633,727",""
"2008Q2","Sweden","Passenger","Passengers carried (departures)","Total","Total transport","4,698,488",""
"2008Q2","Sweden","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Sweden","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Sweden","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Sweden","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Sweden","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Sweden","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","United Kingdom","Passenger","Passengers on board","Total","Total transport","56,812,692",""
"2008Q2","United Kingdom","Passenger","Passengers on board (arrivals)","Total","Total transport","31,275,571",""
"2008Q2","United Kingdom","Passenger","Passengers on board (departures)","Total","Total transport","31,152,328",""
"2008Q2","United Kingdom","Passenger","Passengers carried","Total","Total transport","56,586,303",""
"2008Q2","United Kingdom","Passenger","Passengers carried (arrival)","Total","Total transport","31,112,790",""
"2008Q2","United Kingdom","Passenger","Passengers carried (departures)","Total","Total transport","30,987,688",""
"2008Q2","United Kingdom","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","United Kingdom","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","United Kingdom","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","United Kingdom","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","United Kingdom","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","United Kingdom","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Iceland","Passenger","Passengers on board","Total","Total transport","599,771",""
"2008Q2","Iceland","Passenger","Passengers on board (arrivals)","Total","Total transport","301,106",""
"2008Q2","Iceland","Passenger","Passengers on board (departures)","Total","Total transport","298,665",""
"2008Q2","Iceland","Passenger","Passengers carried","Total","Total transport","599,771",""
"2008Q2","Iceland","Passenger","Passengers carried (arrival)","Total","Total transport","301,106",""
"2008Q2","Iceland","Passenger","Passengers carried (departures)","Total","Total transport","298,665",""
"2008Q2","Iceland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Iceland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Iceland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Iceland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Iceland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Iceland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Norway","Passenger","Passengers on board","Total","Total transport","7,865,624",""
"2008Q2","Norway","Passenger","Passengers on board (arrivals)","Total","Total transport","5,522,649",""
"2008Q2","Norway","Passenger","Passengers on board (departures)","Total","Total transport","5,825,148",""
"2008Q2","Norway","Passenger","Passengers carried","Total","Total transport","7,546,023",""
"2008Q2","Norway","Passenger","Passengers carried (arrival)","Total","Total transport","5,431,402",""
"2008Q2","Norway","Passenger","Passengers carried (departures)","Total","Total transport","5,787,929",""
"2008Q2","Norway","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Norway","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Norway","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Norway","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Norway","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Norway","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Switzerland","Passenger","Passengers on board","Total","Total transport","9,387,737",""
"2008Q2","Switzerland","Passenger","Passengers on board (arrivals)","Total","Total transport","4,757,769",""
"2008Q2","Switzerland","Passenger","Passengers on board (departures)","Total","Total transport","4,805,541",""
"2008Q2","Switzerland","Passenger","Passengers carried","Total","Total transport","9,322,655",""
"2008Q2","Switzerland","Passenger","Passengers carried (arrival)","Total","Total transport","4,723,672",""
"2008Q2","Switzerland","Passenger","Passengers carried (departures)","Total","Total transport","4,771,723",""
"2008Q2","Switzerland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Switzerland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Switzerland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Switzerland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Switzerland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Switzerland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers on board","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers carried","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Montenegro","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Montenegro","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Former Yugoslav Republic of Macedonia, the","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers on board","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers carried","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Serbia","Passenger","Passengers carried (departures)","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q2","Serbia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q3","Belgium","Passenger","Passengers on board","Total","Total transport","6,724,055",""
"2008Q3","Belgium","Passenger","Passengers on board (arrivals)","Total","Total transport","3,383,353",""
"2008Q3","Belgium","Passenger","Passengers on board (departures)","Total","Total transport","3,348,116",""
"2008Q3","Belgium","Passenger","Passengers carried","Total","Total transport","6,643,304",""
"2008Q3","Belgium","Passenger","Passengers carried (arrival)","Total","Total transport","3,346,734",""
"2008Q3","Belgium","Passenger","Passengers carried (departures)","Total","Total transport","3,301,807",""
"2008Q3","Belgium","Flight","Passengers on board","Total","Total transport",":",""
"2008Q3","Belgium","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q3","Belgium","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q3","Belgium","Flight","Passengers carried","Total","Total transport",":",""
"2008Q3","Belgium","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q3","Belgium","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q3","Bulgaria","Passenger","Passengers on board","Total","Total transport","3,199,403",""
"2008Q3","Bulgaria","Passenger","Passengers on board (arrivals)","Total","Total transport","1,559,483",""
"2008Q3","Bulgaria","Passenger","Passengers on board (departures)","Total","Total transport","1,695,270",""
"2008Q3","Bulgaria","Passenger","Passengers carried","Total","Total transport","3,187,386",""
"2008Q3","Bulgaria","Passenger","Passengers carried (arrival)","Total","Total transport","1,551,746",""
"2008Q3","Bulgaria","Passenger","Passengers carried (departures)","Total","Total transport","1,687,346",""
"2008Q3","Bulgaria","Flight","Passengers on board","Total","Total transport",":",""
"2008Q3","Bulgaria","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q3","Bulgaria","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q3","Bulgaria","Flight","Passengers carried","Total","Total transport",":",""
"2008Q3","Bulgaria","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q3","Bulgaria","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q3","Czechia","Passenger","Passengers on board","Total","Total transport","4,569,077",""
"2008Q3","Czechia","Passenger","Passengers on board (arrivals)","Total","Total transport","2,305,654",""
"2008Q3","Czechia","Passenger","Passengers on board (departures)","Total","Total transport","2,263,423",""
