"TIME","GEO","UNIT","TRA_MEAS","SCHEDULE","TRA_COV","Value","Flag and Footnotes"
"2008Q1","Estonia","Passenger","Passengers carried","Total","Total transport","402,764",""
"2008Q1","Estonia","Passenger","Passengers carried (arrival)","Total","Total transport","197,964",""
"2008Q1","Estonia","Passenger","Passengers carried (departures)","Total","Total transport","204,800",""
"2008Q1","Estonia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Estonia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Estonia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Estonia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Estonia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Estonia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Ireland","Passenger","Passengers on board","Total","Total transport","6,531,857",""
"2008Q1","Ireland","Passenger","Passengers on board (arrivals)","Total","Total transport","3,395,991",""
"2008Q1","Ireland","Passenger","Passengers on board (departures)","Total","Total transport","3,356,546",""
"2008Q1","Ireland","Passenger","Passengers carried","Total","Total transport","6,492,163",""
"2008Q1","Ireland","Passenger","Passengers carried (arrival)","Total","Total transport","3,360,191",""
"2008Q1","Ireland","Passenger","Passengers carried (departures)","Total","Total transport","3,320,853",""
"2008Q1","Ireland","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Ireland","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Ireland","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Ireland","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Ireland","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Ireland","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Greece","Passenger","Passengers on board","Total","Total transport","3,675,224",""
"2008Q1","Greece","Passenger","Passengers on board (arrivals)","Total","Total transport","2,466,043",""
"2008Q1","Greece","Passenger","Passengers on board (departures)","Total","Total transport","2,474,644",""
"2008Q1","Greece","Passenger","Passengers carried","Total","Total transport","3,675,232",""
"2008Q1","Greece","Passenger","Passengers carried (arrival)","Total","Total transport","2,466,043",""
"2008Q1","Greece","Passenger","Passengers carried (departures)","Total","Total transport","2,474,644",""
"2008Q1","Greece","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Greece","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Greece","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Greece","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Greece","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Greece","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Spain","Passenger","Passengers on board","Total","Total transport","34,509,517",""
"2008Q1","Spain","Passenger","Passengers on board (arrivals)","Total","Total transport","22,357,086",""
"2008Q1","Spain","Passenger","Passengers on board (departures)","Total","Total transport","22,084,925",""
"2008Q1","Spain","Passenger","Passengers carried","Total","Total transport","34,250,110",""
"2008Q1","Spain","Passenger","Passengers carried (arrival)","Total","Total transport","22,097,643",""
"2008Q1","Spain","Passenger","Passengers carried (departures)","Total","Total transport","22,084,663",""
"2008Q1","Spain","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Spain","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Spain","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Spain","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Spain","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Spain","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","France","Passenger","Passengers on board","Total","Total transport","26,854,802",""
"2008Q1","France","Passenger","Passengers on board (arrivals)","Total","Total transport","16,590,517",""
"2008Q1","France","Passenger","Passengers on board (departures)","Total","Total transport","16,450,368",""
"2008Q1","France","Passenger","Passengers carried","Total","Total transport","26,916,559",""
"2008Q1","France","Passenger","Passengers carried (arrival)","Total","Total transport","16,590,517",""
"2008Q1","France","Passenger","Passengers carried (departures)","Total","Total transport","16,450,368",""
"2008Q1","France","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","France","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","France","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","France","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","France","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","France","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Croatia","Passenger","Passengers on board","Total","Total transport","526,511",""
"2008Q1","Croatia","Passenger","Passengers on board (arrivals)","Total","Total transport","313,146",""
"2008Q1","Croatia","Passenger","Passengers on board (departures)","Total","Total transport","312,381",""
"2008Q1","Croatia","Passenger","Passengers carried","Total","Total transport","513,289",""
"2008Q1","Croatia","Passenger","Passengers carried (arrival)","Total","Total transport","303,878",""
"2008Q1","Croatia","Passenger","Passengers carried (departures)","Total","Total transport","303,025",""
"2008Q1","Croatia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Croatia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Croatia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Croatia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Croatia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Croatia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Italy","Passenger","Passengers on board","Total","Total transport","22,798,046",""
"2008Q1","Italy","Passenger","Passengers on board (arrivals)","Total","Total transport","14,884,741",""
"2008Q1","Italy","Passenger","Passengers on board (departures)","Total","Total transport","14,266,699",""
"2008Q1","Italy","Passenger","Passengers carried","Total","Total transport","22,494,468",""
"2008Q1","Italy","Passenger","Passengers carried (arrival)","Total","Total transport","14,560,565",""
"2008Q1","Italy","Passenger","Passengers carried (departures)","Total","Total transport","14,179,128",""
"2008Q1","Italy","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Italy","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Italy","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Italy","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Italy","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Italy","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Cyprus","Passenger","Passengers on board","Total","Total transport","1,037,337",""
"2008Q1","Cyprus","Passenger","Passengers on board (arrivals)","Total","Total transport","533,834",""
"2008Q1","Cyprus","Passenger","Passengers on board (departures)","Total","Total transport","521,153",""
"2008Q1","Cyprus","Passenger","Passengers carried","Total","Total transport","942,993",""
"2008Q1","Cyprus","Passenger","Passengers carried (arrival)","Total","Total transport","476,723",""
"2008Q1","Cyprus","Passenger","Passengers carried (departures)","Total","Total transport","466,270",""
"2008Q1","Cyprus","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Cyprus","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Cyprus","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Cyprus","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Cyprus","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Cyprus","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Latvia","Passenger","Passengers on board","Total","Total transport","722,993",""
"2008Q1","Latvia","Passenger","Passengers on board (arrivals)","Total","Total transport","353,108",""
"2008Q1","Latvia","Passenger","Passengers on board (departures)","Total","Total transport","369,885",""
"2008Q1","Latvia","Passenger","Passengers carried","Total","Total transport","720,505",""
"2008Q1","Latvia","Passenger","Passengers carried (arrival)","Total","Total transport","353,108",""
"2008Q1","Latvia","Passenger","Passengers carried (departures)","Total","Total transport","367,397",""
"2008Q1","Latvia","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Latvia","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Latvia","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Latvia","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Latvia","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Latvia","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Lithuania","Passenger","Passengers on board","Total","Total transport","527,866",""
"2008Q1","Lithuania","Passenger","Passengers on board (arrivals)","Total","Total transport","257,129",""
"2008Q1","Lithuania","Passenger","Passengers on board (departures)","Total","Total transport","270,737",""
"2008Q1","Lithuania","Passenger","Passengers carried","Total","Total transport","523,016",""
"2008Q1","Lithuania","Passenger","Passengers carried (arrival)","Total","Total transport","254,704",""
"2008Q1","Lithuania","Passenger","Passengers carried (departures)","Total","Total transport","268,312",""
"2008Q1","Lithuania","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Lithuania","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Lithuania","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Lithuania","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Lithuania","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Lithuania","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Luxembourg","Passenger","Passengers on board","Total","Total transport","334,197",""
"2008Q1","Luxembourg","Passenger","Passengers on board (arrivals)","Total","Total transport","167,387",""
"2008Q1","Luxembourg","Passenger","Passengers on board (departures)","Total","Total transport","166,917",""
"2008Q1","Luxembourg","Passenger","Passengers carried","Total","Total transport","354,793",""
"2008Q1","Luxembourg","Passenger","Passengers carried (arrival)","Total","Total transport","178,475",""
"2008Q1","Luxembourg","Passenger","Passengers carried (departures)","Total","Total transport","176,318",""
"2008Q1","Luxembourg","Flight","Passengers on board","Total","Total transport",":",""
"2008Q1","Luxembourg","Flight","Passengers on board (arrivals)","Total","Total transport",":",""
"2008Q1","Luxembourg","Flight","Passengers on board (departures)","Total","Total transport",":",""
"2008Q1","Luxembourg","Flight","Passengers carried","Total","Total transport",":",""
"2008Q1","Luxembourg","Flight","Passengers carried (arrival)","Total","Total transport",":",""
"2008Q1","Luxembourg","Flight","Passengers carried (departures)","Total","Total transport",":",""
"2008Q1","Hungary","Passenger","Passengers on board","Total","Total transport","1,709,021",""
"2008Q1","Hungary","Passenger","Passengers on board (arrivals)","Total","Total transport","823,458",""
"2008Q1","Hungary","Passenger","Passengers on board (departures)","Total","Total transport","885,563",""
"2008Q1","Hungary","Passenger","Passengers carried","Total","Total transport","1,709,021",""
"2008Q1","Hungary","Passenger","Passengers carried (arrival)","Total","Total transport","823,458",""
"2008Q1","Hungary","Passenger","Passengers carried (departures)","Total","Total transport","885,563",""
"2008Q1","Hungary","Flight","Passengers on board","Total","Total transport",":",""
