World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 3.6: Outbound tourism - Expenditure - passenger transport - US$ Million;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
184;Cook Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
188;Costa Rica;13;21;53;57;62;66;70;86;135;129;128;168;200;167;137;211;220;225;224;207;208;252;278
384;Côte D'Ivoire;122;126;117;118;115;102;102;132;164;190;195;210;234;256;246;217;200;196;202;223;203;119;..
191;Croatia;..;..;..;..;55;66;71;71;37;33;32;33;40;44;28;29;37;36;20;19;15;9;30
192;Cuba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
535;Curaçao;..;..;..;..;..;..;..;..;..;..;..;..;20;26;49;56;54;79;78;73;73;69;77
196;Cyprus;144;135;127;129;128;127;138;69;89;96;68;64;75;302;337;343;420;397;385;445;374;428;489
203;Czech Republic;..;..;..;..;..;..;..;200;243;402;198;109;127;145;81;102;87;84;61;40;47;43;67
208;Denmark;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
262;Djibouti;13;13;12;13;9;9;9;5;7;11;12;12;12;12;12;12;13;11;12;13;12;12;..
212;Dominica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
214;Dominican Republic;94;115;118;126;127;131;134;134;136;138;159;162;205;205;164;267;293;291;297;310;340;379;410
218;Ecuador;96;94;104;84;114;117;125;143;146;186;215;240;229;248;257;295;323;333;366;355;355;373;399
818;Egypt;93;65;84;118;140;134;116;43;144;286;303;372;440;475;403;456;372;419;247;346;194;241;259
222;El Salvador;27;29;..;..;36;54;52;75;82;81;82;83;85;85;66;61;41;26;28;29;38;39;48
226;Equatorial Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
232;Eritrea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
233;Estonia;30;40;42;42;40;49;61;74;85;87;91;120;134;130;..;..;..;..;177;165;143;136;147
230;Ethiopia;5;5;8;5;6;6;6;10;13;1;..;..;..;..;1;..;..;..;..;..;..;..;..
242;Fiji;18;18;18;15;16;13;19;24;18;24;26;12;14;15;13;14;18;19;14;10;11;10;10
246;Finland;575;475;461;503;490;441;590;432;521;562;565;675;829;1.033;832;963;1.131;954;1.090;1.021;990;986;1.013
250;France;4.341;4.301;..;..;4.294;4.170;4.133;4.039;4.559;6.011;7.289;6.969;8.146;9.444;8.089;8.400;10.777;10.236;10.262;9.684;8.189;8.437;8.729
254;French Guiana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
258;French Polynesia;..;..;..;..;..;..;..;84;99;114;118;..;..;229;175;175;159;142;137;143;131;74;..
266;Gabon;45;68;70;74;104;99;31;40;45;61;72;..;99;109;116;184;115;127;..;..;..;..;..
270;Gambia;2;1;1;..;..;..;..;..;4;2;2;2;..;..;..;..;..;..;0;1;1;1;..
268;Georgia;..;..;15;13;5;19;29;40;40;49;68;90;101;134;130;130;171;215;243;264;279;320;389
280;Germany;6.267;5.650;5.333;5.830;5.339;4.777;4.612;6.490;7.969;9.437;10.349;11.558;13.036;14.049;11.428;13.302;13.673;12.998;11.357;8.450;7.863;7.489;7.920
288;Ghana;53;55;57;60;60;62;60;65;78;84;169;230;258;328;264;308;562;512;509;489;668;779;888
300;Greece;172;186;210;..;23;6;12;17;8;8;6;7;7;16;739;547;648;641;1.333;1.247;1.278;1.195;1.153
308;Grenada;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
312;Guadeloupe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
316;Guam;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
320;Guatemala;26;28;27;33;33;34;41;53;61;103;111;126;140;134;147;218;227;214;227;245;249;254;262
324;Guinea;8;10;16;7;5;4;8;7;10;4;9;13;67;21;15;9;16;18;11;11;8;4;..
624;Guinea-Bissau;2;2;2;..;..;..;3;5;8;9;9;2;1;1;0;0;7;5;..;..;..;..;..
328;Guyana;..;6;7;6;7;8;7;6;4;..;..;..;..;..;..;..;..;..;..;..;..;..;..
332;Haiti;..;..;..;138;135;155;150;154;160;134;119;183;275;319;364;368;396;409;356;404;377;441;..
340;Honduras;42;50;53;61;72;78;77;72;57;56;59;70;97;94;65;85;92;95;102;99;96;112;116
344;Hong Kong, China;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
348;Hungary;3;9;17;20;47;71;79;78;106;61;444;440;542;632;501;493;563;571;620;676;626;573;506
352;Iceland;..;4;4;3;4;..;..;2;1;2;11;8;10;..;..;..;..;..;..;..;..;..;..
356;India;..;..;..;..;..;996;1.361;1.362;800;967;2.090;1.893;2.471;2.477;..;..;..;1.765;2.269;2.897;2.848;2.808;3.413
360;Indonesia;..;..;..;..;..;..;..;1.753;1.345;1.062;1.156;1.428;1.674;3.247;1.592;2.037;2.398;2.284;2.605;2.581;2.508;2.366;2.656
364;Iran, Islamic Republic Of;6;16;14;2;6;3;6;240;278;309;388;382;526;704;698;915;780;610;625;678;666;456;..
368;Iraq;..;..;..;..;..;..;..;..;..;..;188;131;66;19;14;55;43;82;123;230;167;111;..
372;Ireland;..;..;..;..;81;101;98;80;96;114;112;116;129;126;114;107;114;104;110;114;95;92;..
376;Israel;506;571;669;760;845;929;942;779;791;867;885;887;991;1.006;960;1.018;1.099;1.099;1.215;1.345;1.494;1.763;1.928
380;Italy;2.390;2.813;3.033;2.941;2.700;2.484;2.203;2.711;3.142;3.603;4.404;4.285;5.427;..;..;..;..;..;..;..;..;..;..
388;Jamaica;25;24;24;25;29;29;21;16;17;32;41;42;42;44;43;42;54;234;214;259;178;168;200
392;Japan;10.202;9.742;8.372;6.528;8.441;10.759;8.995;8.321;7.547;9.923;10.531;10.779;10.747;11.070;9.588;11.356;12.498;13.061;10.383;9.295;7.278;7.221;..
400;Jordan;294;249;237;191;181;37;42;51;51;61;68;119;141;136;138;164;119;113;110;109;107;109;110
398;Kazakhstan;13;45;49;51;61;75;88;106;114;153;187;239;314;283;187;216;220;337;304;231;176;111;95
404;Kenya;38;36;7;..;..;24;40;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
296;Kiribati;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
408;Korea, Democratic People'S Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
410;Korea, Republic Of;606;809;1.051;557;674;813;732;975;960;1.157;1.518;2.138;2.474;2.391;1.320;2.022;2.275;2.289;2.811;2.944;2.687;2.574;2.754
414;Kuwait;266;287;307;306;304;357;365;391;402;446;465;501;631;771;610;672;815;824;914;1.012;767;895;1.174
417;Kyrgyzstan;..;1;7;21;16;12;9;17;18;23;36;50;103;146;126;127;145;179;155;178;136;121;130
418;Lao People'S Democratic Republic;4;6;6;6;5;..;4;4;4;4;5;6;6;10;8;12;11;9;3;3;4;0;..
428;Latvia;38;34;53;50;53;34;32;37;37;51;71;84;94;..;..;..;..;..;185;173;186;184;90
422;Lebanon;..;..;..;..;..;..;..;..;376;549;657;777;800;733;916;353;436;312;304;203;446;212;..
426;Lesotho;4;4;3;3;3;3;3;2;4;7;9;3;8;5;8;8;10;7;6;7;6;4;4
430;Liberia;..;..;..;..;..;..;..;..;..;15;17;24;27;28;22;..;..;..;..;..;..;..;..
434;Libya;22;18;17;142;172;98;127;68;132;186;240;247;121;62;96;137;..;97;173;182;99;99;..
438;Liechtenstein;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
440;Lithuania;1;4;12;12;9;8;8;8;5;7;..;..;..;..;..;..;..;..;..;..;181;206;200
442;Luxembourg;..;..;..;..;..;..;..;21;30;42;50;62;87;103;93;88;99;96;76;78;54;53;..
446;Macao, China;..;..;..;..;..;..;..;20;16;17;63;73;82;74;68;83;100;72;104;131;109;96;..
450;Madagascar;20;17;21;21;22;24;49;32;3;15;89;81;91;123;114;112;138;127;123;161;99;159;..
454;Malawi;14;14;11;10;5;3;12;8;13;10;30;30;22;25;28;29;31;31;28;32;34;29;34
458;Malaysia;408;463;568;375;409;468;777;712;555;644;628;828;999;1.015;688;..;..;..;..;..;..;..;..
462;Maldives;10;10;11;13;13;14;14;14;14;19;24;28;30;44;38;47;47;43;48;63;56;63;62
466;Mali;25;29;27;29;25;26;29;26;46;59;56;76;64;81;89;56;52;62;71;87;..;..;..
470;Malta;23;25;26;28;30;24;24;26;23;36;43;42;47;..;..;..;..;..;..;..;..;..;..
584;Marshall Islands;..;..;..;..;..;..;..;..;..;..;11;12;13;13;12;11;11;13;12;12;12;12;..
