World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.5: Tourism industries - Number of establishments: passenger transportation - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
634;Qatar;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
638;Reunion;..;..;..;..;..;..;..;..;..;602;593;602;598;646;655;676;661;675;638;659;665;..;..
642;Romania;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
643;Russian Federation;..;..;..;..;..;..;..;..;..;..;..;..;..;2.592;2.371;2.226;2.156;2.072;1.810;1.774;..;..;..
646;Rwanda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
461;Saba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
659;Saint Kitts And Nevis;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
662;Saint Lucia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
670;Saint Vincent And The Grenadines;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
882;Samoa;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
674;San Marino;..;..;..;..;..;..;..;..;..;..;..;..;..;..;11;11;11;11;11;20;19;19;..
678;Sao Tome And Principe;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
682;Saudi Arabia;..;..;..;..;..;..;..;..;..;741;741;771;1.167;1.469;1.528;1.588;1.651;4.757;3.702;3.702;3.702;3.935;..
686;Senegal;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
688;Serbia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
690;Seychelles;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
694;Sierra Leone;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
702;Singapore;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
658;Sint Eustatius;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
663;Sint Maarten (Dutch Part);..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
703;Slovakia;..;..;..;..;..;..;..;..;..;..;3.781;4.143;3.899;4.117;3.847;3.932;3.941;4.029;3.549;3.842;3.675;..;..
705;Slovenia;..;..;..;..;..;..;..;..;..;..;..;..;..;1.214;1.268;1.298;1.300;1.316;1.290;1.300;1.360;1.408;..
90;Solomon Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
706;Somalia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
710;South Africa;..;..;..;..;..;..;..;..;..;..;..;..;6.931;6.928;7.182;7.072;6.889;6.787;6.700;6.755;6.722;6.795;6.843
728;South Sudan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
724;Spain;..;..;..;..;..;..;..;..;..;..;..;..;..;67.822;67.808;67.279;65.905;65.726;64.919;63.838;62.912;63.208;63.782
144;Sri Lanka;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
275;State Of Palestine;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;66;21;54;23;24;41;..;..
736;Sudan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;40;172;60;67;..
740;Suriname;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
748;Swaziland;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
752;Sweden;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
756;Switzerland;..;..;..;..;..;..;..;..;..;..;3.398;..;..;3.601;..;..;..;..;..;..;..;..;..
760;Syrian Arab Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
158;Taiwan Province Of China;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;92;..
762;Tajikistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
834;Tanzania, United Republic Of;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
764;Thailand;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
807;The Former Yugoslav Republic Of Macedonia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
626;Timor-Leste;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
768;Togo;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
776;Tonga;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
780;Trinidad And Tobago;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
788;Tunisia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
792;Turkey;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
795;Turkmenistan;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
796;Turks And Caicos Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
798;Tuvalu;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
800;Uganda;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
804;Ukraine;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
784;United Arab Emirates;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
826;United Kingdom;..;..;..;..;..;..;..;..;..;..;..;..;..;..;18.918;18.062;17.330;17.209;19.300;16.690;17.358;..;..
