World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.5: Tourism industries - Number of establishments: passenger transportation - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
191;Croatia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
192;Cuba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
535;Curaçao;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
196;Cyprus;..;..;..;..;..;..;..;..;3.011;3.238;3.354;3.360;3.310;..;..;..;..;..;..;..;..;..;..
203;Czech Republic;..;..;..;..;..;..;..;..;..;..;16.603;16.749;16.425;8.230;7.078;5.132;4.879;4.721;4.027;3.982;4.006;4.071;4.125
208;Denmark;..;..;..;..;..;..;..;..;..;..;..;4.028;3.993;3.820;3.864;3.686;3.419;3.424;3.277;3.295;3.209;..;..
262;Djibouti;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
212;Dominica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
214;Dominican Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
218;Ecuador;174;159;154;169;186;182;218;247;287;312;395;396;416;377;363;383;353;362;378;401;444;510;..
818;Egypt;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
222;El Salvador;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
226;Equatorial Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
232;Eritrea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
233;Estonia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
230;Ethiopia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
242;Fiji;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
246;Finland;..;..;..;..;..;..;..;..;..;..;9.354;9.490;9.739;9.838;9.886;9.779;9.792;9.682;9.753;9.573;9.384;9.753;..
250;France;..;..;..;..;..;..;..;..;..;..;..;..;..;2.856;2.872;2.944;3.016;3.109;3.180;6.072;6.075;5.908;..
254;French Guiana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
258;French Polynesia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
266;Gabon;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
