World Tourism Organization (2018), Compendium of Tourism Statistics dataset [Electronic], UNWTO, Madrid, data updated on 19/09/2018.;;;;;;;;;;;;;;;;;;;;;;;;
Conceptual references and technical notes are available in the Methodological Notes to the Tourism Statistics Database:;;;;;;;;;;;;;;;;;;;;;;;;
http://statistics.unwto.org/news/2018-03-23/methodological-notes-tourism-statistics-database-2018-edition;;;;;;;;;;;;;;;;;;;;;;;;
Compendium of Tourism Statistics - Basic data and indicators;;;;;;;;;;;;;;;;;;;;;;;;
Series 4.1: Tourism industries - Total number of establishments - Units;;;;;;;;;;;;;;;;;;;;;;;;
COD.;COUNTRY;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017
180;Congo, Democratic Republic Of The;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
184;Cook Islands;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;249;..;..;..
188;Costa Rica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.383;3.342;3.337;3.145;3.123;3.160;4.464
384;Côte D'Ivoire;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;5.519;5.800;6.262
191;Croatia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
192;Cuba;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
535;Curaçao;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
196;Cyprus;..;..;..;..;..;..;..;..;10.382;11.699;12.874;13.182;14.206;6.750;6.690;5.862;5.621;5.686;5.687;5.764;5.982;6.115;..
203;Czech Republic;..;..;..;..;..;..;..;..;..;..;143.270;144.730;142.519;141.697;146.920;144.051;146.681;151.762;148.456;150.423;151.648;154.056;156.394
208;Denmark;..;..;..;..;..;..;..;..;..;..;..;17.468;17.860;17.376;17.426;17.561;17.539;17.928;17.750;18.276;18.357;..;..
262;Djibouti;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;150
212;Dominica;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
214;Dominican Republic;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
218;Ecuador;8.358;8.768;9.057;9.445;9.735;10.654;10.703;11.102;11.725;12.129;13.506;13.503;14.467;15.700;16.660;17.778;18.678;19.729;21.069;23.484;25.672;25.653;..
818;Egypt;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
222;El Salvador;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;586;586;643;643;643;955
226;Equatorial Guinea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
232;Eritrea;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;6.860;7.000;7.200;7.400;7.670;..
233;Estonia;160;174;200;237;329;623;656;649;775;859;2.187;2.378;2.512;2.913;3.039;3.361;3.429;3.599;3.766;3.932;4.094;4.268;..
230;Ethiopia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
242;Fiji;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;3.770;3.883;4.062;4.253;3.866;..
246;Finland;..;..;..;..;..;..;..;..;..;..;27.820;28.504;29.823;30.551;30.860;30.670;31.566;31.690;31.770;31.547;31.616;31.770;..
250;France;..;..;..;..;..;..;..;..;..;..;..;28.313;28.392;152.643;161.245;164.468;167.595;171.737;174.141;181.761;183.445;185.050;..
254;French Guiana;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;740;..;..;..
258;French Polynesia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
266;Gabon;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
270;Gambia;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
268;Georgia;..;..;..;..;..;2.121;1.688;1.481;1.399;1.423;2.590;2.447;2.036;1.883;1.897;2.079;3.129;..;1.920;..;..;..;..
280;Germany;53.706;54.941;56.026;56.469;56.323;56.594;56.882;56.702;56.160;55.353;55.287;54.797;54.699;..;226.515;256.075;257.028;250.568;241.022;262.343;264.694;268.363;..
288;Ghana;..;..;..;..;..;..;..;..;..;..;..;2.168;2.134;2.324;2.478;2.493;..;..;..;..;..;..;..
300;Greece;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..;..
